,Accuracy,Precision,Recall,F1-score
Regresión Logística,0.8008415147265077,0.7619047619047619,0.7007299270072993,0.7300380228136882
k-NN sin optimizar,0.7812061711079944,0.7122302158273381,0.7226277372262774,0.717391304347826
k-NN optimizado,0.788218793828892,0.7374517374517374,0.6970802919708029,0.7166979362101313
Random Forest,0.8036465638148668,0.7791666666666667,0.6824817518248175,0.7276264591439688
XGBoost sin optimizar,0.7812061711079944,0.7706422018348624,0.6131386861313869,0.6829268292682927
XGBoost optimizado,0.8008415147265077,0.7619047619047619,0.7007299270072993,0.7300380228136882
